ST004D01T,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,IC170Q01JA,IC170Q02JA,IC170Q03JA,IC170Q04JA,IC170Q05JA,IC170Q06JA,IC170Q07JA,IC171Q01JA,IC171Q02JA,IC171Q03JA,IC171Q04JA,IC171Q05JA,IC171Q06JA,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
1.0,,,,,,,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,6.0,3.0,5.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,15.83,399.211,370.319,373.822,402.029,425.46,406.504,363.589,426.898,370.424,360.709,430.269,408.091,387.182,409.099,477.456,391.285,410.148,406.293,328.421,343.591,422.807,419.368,439.583,437.517,462.501,476.419,457.571,491.407,422.862,420.369
2.0,,,,,,,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,6.0,6.0,3.0,2.0,6.0,1.0,3.0,16.17,581.3,606.97,569.9,531.278,577.899,609.604,553.106,640.892,579.403,575.856,607.763,626.414,596.296,640.117,642.572,600.13,594.41,614.158,598.54,627.635,622.193,606.322,581.755,654.489,621.024,674.669,622.683,680.394,574.459,630.538
1.0,,,,,,,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,5.0,3.0,1.0,16.0,425.204,422.658,448.034,437.105,488.318,449.576,486.412,490.542,448.917,443.467,590.007,555.64,674.685,623.883,602.252,612.805,606.113,608.807,549.053,606.966,507.152,452.809,490.037,432.267,505.862,494.763,509.104,501.728,448.71,546.973
1.0,,,,,,,4.0,5.0,6.0,4.0,3.0,3.0,1.0,3.0,5.0,6.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,15.75,573.088,534.677,515.133,531.51,532.956,538.566,534.253,531.182,533.347,543.288,540.787,577.283,490.878,563.832,534.778,554.332,632.381,572.134,578.566,521.392,563.806,563.415,565.017,571.649,604.129,575.747,565.13,571.877,561.761,567.835
1.0,,,,,,,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,15.5,573.87,551.352,586.535,536.909,522.771,601.847,562.11,551.067,524.805,565.992,609.079,643.826,593.434,619.28,591.879,573.284,642.554,521.752,607.802,555.831,530.958,572.005,563.363,519.239,542.207,528.747,571.247,476.403,599.605,567.252
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83,479.785,494.767,508.697,526.157,454.548,451.651,464.489,496.925,506.286,444.281,526.774,478.229,560.64,516.314,460.638,418.462,448.041,438.68,479.926,398.472,544.221,483.138,555.42,476.815,495.379,446.269,467.804,510.522,472.932,443.853
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,285.031,308.993,381.866,363.809,387.359,342.222,374.623,349.736,351.099,343.997,378.199,298.451,347.926,333.391,323.765,351.877,365.084,335.588,311.474,392.555,331.557,275.611,403.066,362.766,367.343,367.337,376.14,363.76,360.845,392.874
2.0,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,15.67,503.706,505.406,516.659,496.138,461.771,462.92,430.104,447.79,455.334,455.357,540.045,551.634,535.545,529.882,539.214,533.369,542.378,547.711,523.725,540.116,534.628,557.818,509.895,542.54,557.569,455.604,470.035,515.762,504.67,505.75
2.0,,,,,,,4.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,16.08,562.69,578.063,574.966,546.036,531.57,549.41,605.231,561.07,604.806,546.493,622.321,578.803,603.371,602.246,556.592,508.176,573.968,571.203,624.679,559.802,682.867,686.571,658.829,670.177,627.396,658.718,698.625,649.647,717.843,640.116
1.0,,,,,,,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,6.0,2.0,3.0,2.0,6.0,15.75,688.306,636.295,651.208,669.968,665.063,661.806,647.887,613.043,630.552,657.299,679.768,746.18,735.177,729.129,665.219,665.916,737.767,698.031,728.85,650.355,697.746,716.489,721.759,696.422,723.5,708.412,706.086,666.836,674.355,689.194
